Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-06-21;57,4054;58,1036;57,1403;57,7413;;
2019-06-20;56,1864;57,2654;55,7973;56,9382;;
2019-06-19;55,6795;55,7776;54,7783;55,6259;;
2019-06-18;54,0091;56,1366;53,8661;55,6986;;
2019-06-17;54,9849;55,2697;54,068;54,3173;;
2019-06-14;54,6028;55,5526;53,9103;55,0377;;
2019-06-13;54,8853;55,4788;53,8843;54,2918;;
2019-06-12;54,0581;54,2171;52,6186;52,7864;;
2019-06-11;55,3269;55,4594;54,7615;55,00;;
2019-06-10;56,2428;56,4286;54,9066;55,1367;;
2019-06-07;55,6019;56,3825;54,7858;56,072;;
2019-06-06;54,0032;55,3701;53,5328;55,308;;
2019-06-05;54,6771;55,3167;0,0178;53,8509;;
2019-06-04;54,2778;55,2383;53,5575;55,016;;
2019-06-03;55,7354;56,1913;54,1886;54,3138;;
