Datum;Erster;Hoch;Tief;Schlusskurs
2019-10-07;0,9101;0,9122;0,9091;0,9115
2019-10-04;0,9117;0,9125;0,91;0,9109
2019-10-03;0,9124;0,914;0,9092;0,9115
2019-10-02;0,9148;0,917;0,9122;0,9123
2019-10-01;0,9176;0,919;0,9139;0,9149
2019-09-30;0,9144;0,9186;0,9135;0,9176
2019-09-27;0,9158;0,9168;0,9126;0,914
2019-09-26;0,9136;0,9165;0,9119;0,916
2019-09-25;0,9075;0,9143;0,9074;0,9138
2019-09-24;0,9095;0,9104;0,9072;0,9076
2019-09-23;0,9077;0,9119;0,907;0,9095
2019-09-20;0,9057;0,9094;0,9035;0,9075
2019-09-19;0,9064;0,9072;0,9031;0,9057
2019-09-18;0,9031;0,9078;0,9029;0,9062
2019-09-17;0,9091;0,9098;0,903;0,9032
2019-09-16;0,9029;0,9096;0,9024;0,9091
2019-09-13;0,9038;0,9045;0,9002;0,903
2019-09-12;0,9083;0,9151;0,9021;0,9038
2019-09-11;0,9051;0,9103;0,9046;0,9084
2019-09-10;0,905;0,9066;0,9042;0,9053
2019-09-09;0,9076;0,9078;0,9036;0,905
2019-09-06;0,906;0,9074;0,9045;0,9069
2019-09-05;0,9062;0,9076;0,9023;0,9063
2019-09-04;0,9114;0,9117;0,906;0,9062
2019-09-03;0,9116;0,9149;0,9109;0,9114
2019-09-02;0,9101;0,9126;0,9097;0,9115
2019-08-30;0,9044;0,9121;0,9042;0,9099
2019-08-29;0,9023;0,9055;0,9019;0,9043
2019-08-28;0,9017;0,903;0,9011;0,9023
2019-08-27;0,9007;0,902;0,8997;0,9015
2019-08-26;0,8974;0,9013;0,8967;0,9009
2019-08-23;0,9025;0,9048;0,8967;0,8977
2019-08-22;0,9018;0,9038;0,8999;0,9024
2019-08-21;0,9009;0,9024;0,9003;0,9019
2019-08-20;0,9025;0,9035;0,9004;0,901
2019-08-19;0,9017;0,9027;0,8999;0,9026
2019-08-16;0,9003;0,9036;0,8999;0,9016
2019-08-15;0,8975;0,9014;0,8962;0,9002
2019-08-14;0,895;0,8983;0,8937;0,8977
2019-08-13;0,8915;0,8952;0,8907;0,8951
2019-08-12;0,8925;0,8959;0,8905;0,8913
2019-08-09;0,8934;0,8942;0,8911;0,8929
2019-08-08;0,8927;0,8946;0,8907;0,8935
2019-08-07;0,8927;0,8944;0,8897;0,8927
2019-08-06;0,8917;0,8953;0,889;0,8925
2019-08-05;0,8988;0,8999;0,8919;0,8928
2019-08-02;0,9022;0,9032;0,8996;0,9002
2019-08-01;0,9029;0,9069;0,9013;0,9024
2019-07-31;0,8964;0,904;0,896;0,903
2019-07-30;0,8972;0,8982;0,8962;0,8963
2019-07-29;0,898;0,8997;0,8968;0,8972
2019-07-26;0,8971;0,8999;0,8968;0,8987
2019-07-25;0,8975;0,9006;0,894;0,8971
2019-07-24;0,8967;0,8984;0,8965;0,8975
2019-07-23;0,8921;0,8972;0,8921;0,8967
2019-07-22;0,8919;0,8923;0,8909;0,8922
2019-07-19;0,8867;0,8924;0,8864;0,8912
2019-07-18;0,8905;0,8923;0,8866;0,8868
2019-07-17;0,892;0,8928;0,8903;0,8907
2019-07-16;0,888;0,8927;0,8878;0,892
2019-07-15;0,887;0,8886;0,8862;0,8881
2019-07-12;0,8885;0,8897;0,8869;0,8872
2019-07-11;0,8885;0,8892;0,8861;0,8886
2019-07-10;0,8922;0,8927;0,8879;0,8886
2019-07-09;0,8916;0,8933;0,8914;0,8922
2019-07-08;0,8912;0,8923;0,8901;0,8915
2019-07-05;0,8861;0,8922;0,8859;0,8908
2019-07-04;0,8865;0,887;0,8854;0,8861
2019-07-03;0,8858;0,8874;0,8843;0,8866
2019-07-02;0,8859;0,8868;0,8838;0,8858
2019-07-01;0,8807;0,8864;0,8805;0,8859
2019-06-28;0,8797;0,8808;0,8777;0,8795
2019-06-27;0,8792;0,8812;0,8787;0,8797
2019-06-26;0,8795;0,8809;0,878;0,8792
2019-06-25;0,8773;0,8814;0,8763;0,8797
2019-06-24;0,8786;0,8793;0,8771;0,8774
2019-06-21;0,8854;0,8863;0,879;0,8796
2019-06-20;0,8904;0,8904;0,8838;0,8856
2019-06-19;0,8932;0,8938;0,8888;0,8905
2019-06-18;0,8912;0,8943;0,8895;0,8932
2019-06-17;0,8913;0,8925;0,8894;0,8911
2019-06-14;0,8867;0,8926;0,8858;0,8921
2019-06-13;0,8856;0,8873;0,8847;0,8867
2019-06-12;0,8827;0,8863;0,8816;0,8858
2019-06-11;0,8839;0,8846;0,882;0,8828
2019-06-10;0,8837;0,8856;0,8833;0,884
2019-06-07;0,8867;0,8887;0,8814;0,8824
2019-06-06;0,8907;0,891;0,8843;0,8868
2019-06-05;0,8886;0,8912;0,8845;0,8909
2019-06-04;0,8893;0,8907;0,8869;0,8887
2019-06-03;0,8945;0,896;0,888;0,8893
2019-05-31;0,8985;0,8989;0,8946;0,8953
2019-05-30;0,898;0,8996;0,8974;0,8986
2019-05-29;0,8958;0,8989;0,8951;0,898
2019-05-28;0,8933;0,8961;0,893;0,8956
2019-05-27;0,8923;0,8939;0,8917;0,8934
2019-05-24;0,8942;0,8946;0,8919;0,8925
2019-05-23;0,8966;0,9001;0,8939;0,8941
2019-05-22;0,8958;0,8969;0,8945;0,8966
2019-05-21;0,8954;0,8975;0,8942;0,8958
2019-05-20;0,8957;0,8968;0,8949;0,8954
2019-05-17;0,8949;0,8964;0,8942;0,8963
2019-05-16;0,8924;0,8955;0,891;0,8948
2019-05-15;0,8922;0,8945;0,8912;0,8923
2019-05-14;0,8908;0,8927;0,8894;0,8923
2019-05-13;0,8903;0,8911;0,8879;0,8909
2019-05-10;0,8913;0,8914;0,8887;0,8902
2019-05-09;0,8933;0,8949;0,8888;0,8913
2019-05-08;0,8934;0,8942;0,8918;0,8933
2019-05-07;0,8932;0,8955;0,8915;0,8933
2019-05-06;0,8939;0,8944;0,8921;0,8933
2019-05-03;0,895;0,8978;0,8925;0,8927
2019-05-02;0,8929;0,8952;0,8914;0,8951
2019-05-01;0,8917;0,8938;0,8877;0,8929
2019-04-30;0,8942;0,8948;0,8906;0,8917
2019-04-29;0,897;0,8973;0,8939;0,8942
2019-04-26;0,8981;0,899;0,895;0,8975
2019-04-25;0,8963;0,8992;0,8959;0,8981
2019-04-24;0,8909;0,8976;0,8909;0,8965
2019-04-23;0,8882;0,8934;0,8881;0,891
